Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
놀다1|418|동||A|1-1.csv
스물(스무)|||||1-1.csv
어린이1|234|명||A|
도시3|568|명|都市|A|2-1.csv
여기저기|1833|명||B|1-1.csv
열심히|235|부|熱心-|A|2-1.csv
나이1|523|명||A|
날씨1|442|명||A|1-1.csv
살짝1|236|부||B|
배우다1|467|동||A|1-1.csv
실례지만|||||1-1.csv
잠깐|237|명||A|
어2|30178|감||A|2-1.csv
빨래하다|15354||||1-1.csv
돌아가다|239|동||A|
그럼1|1139|부|'그러면'의 준말|A|1-1.csv
내년|1742|명|來年|A|1-1.csv
지키다1|242|동||B|1-1.csv
저4||관|멀리 있는 대상|A|
문5|850|명|門|A|1-1.csv
확인하다|243|동|確認-|B|2-1.csv
배2||명|~를 띄우다|A|
토요일|3455|명|土曜日|A|1-1.csv
고개1|244|명|~를 돌리다|B|
산1|1287|명|山|A|1-1.csv
학기2|2064|명|學期|B|1-1.csv
억4|247|수|億|B|
새6||관||A|
여덟|2274|수||A|1-1.csv
뜻|248|명||B|
하지만|42491|부||A|2-1.csv
누굴|||||1-1.csv
항상|249|부|恒常|A|2-1.csv
그동안|469|명||A|3-1.csv
여행2|414|명|旅行|A|1-1.csv
기억2|250|명|記憶|B|
갑자기|91787|부||A|2-1.csv
지난달|5488|명||A|1-1.csv
안녕|252|감|安寧|A|
공부1|698|명|工夫|A|
판1|1930|의|마지막 ~|C|1-1.csv
후보4|253|명|候補|C|
분1|320|의|한 ~|A|1-1.csv
축하하다|634|동|祝賀-|A|1-1.csv
무섭다|255|형||B|
불1|2835|명||A|
끄다1|12336|동|불을 ~|A|1-1.csv
잠시|256|부|暫時|A|2-1.csv
학년|289|명|學年|A|
한식4|83703|명|韓食|C|1-1.csv
비슷하다2|257|형||A|2-1.csv
신문10|1704|명|新聞|A|1-1.csv
독서3|6852|명|讀書|B|1-1.csv
나쁘다1|258|형||A|1-1.csv
이해하다2|399|동|理解-|A|
차3|2573|의|次|C|1-1.csv
궁금하다1|259|형||B|3-1.csv
선생1|1114|명|先生|A|
조용하다1|3261|형||A|1-1.csv
과정3|262|명|過程|C|
기분1|326|명|氣分|A|
냉면|4599|명|冷麵|A|1-1.csv
빠지다1|264|동|머리가 ~|B|
옷1|266|명||A|1-1.csv
둘(두)|||||1-1.csv
자체2|265|명|自體|B|
꿈1|1015|명||A|3-1.csv
물어보다|305|동||A|1-1.csv
아마1|268|부||A|
회의4|1207|명|會議|A|
약속이|||||1-1.csv
남다1|270|동||B|2-1.csv
이야기하다|533|동||A|
소풍을|||||1-1.csv
가격3|271|명|價格|B|3-1.csv
나무1|492|명||A|
네2|4928|관||A|1-1.csv
가능하다|275|형|可能-|B|3-1.csv
자다1|2893|동||A|1-1.csv
운동화|4107|명|運動靴|A|1-1.csv
움직이다|278|동||B|
이때||명||A|
사거리|||||1-1.csv
죄송하다|279|형|罪悚-|A|
물건|4069|명|物件|A|1-1.csv
여행사|9059|명|旅行社|B|1-1.csv
원하다2|280|동|願-|B|
발1|3972|명|신체의 일부|A|2-1.csv
여섯|1357|수||A|1-1.csv
소식4|281|명|消息|B|3-1.csv
둘1|1185|수||A|
댁1|2681|명|宅|A|1-1.csv
만큼|282|의||B|
설명하다|341|동|說明-|A|2-1.csv
운전하다|2310|동|運轉-|A|1-1.csv
애1|283|명|~가 타다|C|
살4||의|한 ~|A|
걸리다1|1087|동|'걸다'의 피동사|B|1-1.csv
지2|284|의|만난 ~ 오래되다|B|
아프다|310|형||A|1-1.csv
달다3|438|동|단추를 ~|B|1-1.csv
사진7|285|명|寫眞|A|1-1.csv
적다2||형|경험이 ~|A|
왼쪽|664|명||A|1-1.csv
새끼2|286|명|자식~|B|
비1|989|명|~가 내리다|A|
부모님|517|명|父母-|A|1-1.csv
맞추다1|287|동||B|3-1.csv
고향2|1580|명|故鄕|A|1-1.csv
베트남말|||||1-1.csv
다양하다1|288|형|多樣-|B|3-1.csv
놀라다|14899|동||A|3-1.csv
이따가|31829|부||B|1-1.csv
나타나다|290|동||B|3-1.csv
울다1|564|동|울음을 ~|A|
사11|18335|수|四|A|1-1.csv
얻다1|291|동||B|
지내다1|1031|동||A|2-1.csv
방학하다|32860||||1-1.csv
빠르다|293|형||A|1-1.csv
결혼|1182|명|結婚|A|
내려가다|591|동||A|1-1.csv
준비|295|명|準備|A|
동생1|461|명||A|
그제|2738||||1-1.csv
표정3|296|명|表情|B|3-1.csv
예6||감||A|
강1|998|명|江|A|1-1.csv
느낌|297|명||B|
오후2|340|명|午後|A|1-1.csv
서양|4128|명|西洋|B|1-1.csv
선배|299|명|先輩|B|2-1.csv
아기1|13261|명||A|
셋(세)|||||1-1.csv
가능성|300|명|可能性|B|3-1.csv
아저씨|358|명||A|
노래하다|2230|동||A|1-1.csv
질문|301|명|質問|A|
옛날|617|명||A|2-1.csv
마리1|486|의||A|1-1.csv
모양2|303|명|模樣|B|2-1.csv
달5|1048|의||A|1-1.csv
들1|3076|명||B|1-1.csv
선수5|304|명|選手|B|
참1|5315|부|참으로|A|
어서1||부||A|1-1.csv
훨씬|306|부||B|
이곳|360|대||A|
저쪽|1140|대||A|1-1.csv
전혀1|307|부|全-|B|
딸1|1019|명||A|
축구4|1483|명|蹴球|A|1-1.csv
효과음|312||||
경찰4|51496|명|警察|A|
글쎄요||감||B|1-1.csv
국민|313|명|國民|B|
그러면|59619|부||A|2-1.csv
바나나|5595|명|banana|A|1-1.csv
걱정|314|명||A|
넓다|764|형||A|
일기예보|||||1-1.csv
안되다1|315|동|공부가 ~|A|
시험3|663|명|試驗|A|1-1.csv
비빔밥|5181|명||A|1-1.csv
의미2|316|명|意味|B|
잠1|2295|명||A|
오른쪽|736|명||A|1-1.csv
말다1|317|동|감다|C|2-1.csv
건강3|925|명|健康|A|2-1.csv
화요일|6901|명|火曜日|A|1-1.csv
바라보다|319|동||B|
가깝다|477|형||A|1-1.csv
풍선|3742||||1-1.csv
아유1|321|감||C|
건물3|703|명|建物|A|
넷(네)|||||1-1.csv
관심1|322|명|關心|B|2-1.csv
외국2|1345|명|外國|A|
표2|1450|명|表|C|1-1.csv
멈추다|323|동||B|
밑1|443|명||A|
딸기||명||A|1-1.csv
대부분|324|명|大部分|B|
어른1|3313|명||A|2-1.csv
알겠습니다|||||1-1.csv
멋지다|325|형||C|
팔다|821|동||A|2-1.csv
스키장|10222|명|ski場|B|1-1.csv
현장3|327|명|現場|C|
일하다|1119|동||A|1-1.csv
자장면|13167|명|&중Zhajiangmian|A|1-1.csv
약1|329|명|~이 오르다|C|1-1.csv
팀1|1029|명|team|A|
걸다2|413|동|옷을 ~|A|1-1.csv
저거1|331|대||A|
부모1|701|명|父母|A|
공책1|6731|명|空冊|A|1-1.csv
주변4|332|명|周邊|B|2-1.csv
그날|1690|명||A|
맵다|3681|형||A|1-1.csv
들리다3|333|동|소리가 ~|B|3-1.csv
담배|1292|명||A|1-1.csv
자전거|977|명|自轉車|A|1-1.csv
붙다|334|동||B|
태어나다|567|동||A|
구1|21859|수|九|A|1-1.csv
다리1|335|명|신체의 일부|A|
벌써|4041|부||A|2-1.csv
음력2|9684|명|陰曆|C|1-1.csv
행복하다|336|형|幸福-|B|2-1.csv
환자3|437|명|患者|A|
해수욕장에|||||1-1.csv
작품1|337|명|作品|C|3-1.csv
대화6|489|명|對話|A|
어린이날|4684|명||B|1-1.csv
뿐1|339|의||B|
멀다2|1396|형|갈 길이 ~|A|1-1.csv
그렇지만|37290|부||A|1-1.csv
똑같다|342|형||A|
버스2|781|명|bus|A|1-1.csv
잡수시다|67405|동||A|1-1.csv
이상하다|343|형|異常-|B|
제일4|10909|명|第一|A|1-1.csv
장22|349|의|張. 종이 한 ~|A|1-1.csv
막다1|344|동||B|
해1|2626|명||A|
출발하다|981|동|出發-|A|1-1.csv
올리다1|346|동||C|2-1.csv
잃다|1154|동||A|
비행기|915|명|飛行機|A|1-1.csv
이용하다1|347|동|利用-|B|3-1.csv
달러|4126|의|dollar|A|
주3|1437|관|主. ~ 고객|C|1-1.csv
입장4|348|명|立場|C|
그러니까|8084|부||A|
오십||수|五十|A|1-1.csv
도와주다|351|동||A|2-1.csv
값|1342|명||A|1-1.csv
젓가락|3273|명||A|1-1.csv
전하다|352|동|傳-|B|2-1.csv
언제나|11275|부||A|
삼6|60859|수|三|A|1-1.csv
그러다|353|동||C|
자동차|784|명|自動車|A|
호주|2032|고|濠洲|A|1-1.csv
드리다1|354|보|도와 ~|A|1-1.csv
개월|470|의|個月|A|
싣다1|3225|동||B|1-1.csv
냄새|355|명||B|2-1.csv
눈물1|584|명||A|
지하|5121|명|地下|A|1-1.csv
땅1|356|명||B|
아니1|1224|부||A|
놀이공원|5632||||1-1.csv
기회3|361|명|機會|B|3-1.csv
주인1|825|명|主人|A|
창문|1469|명|窓門|A|1-1.csv
인생1|363|명|人生|B|
귀1|1107|명||A|2-1.csv
전주|3890|고|全州|C|1-1.csv
오히려|364|부||C|
어떠하다|50009|형||A|
그릇1|1338|명||A|1-1.csv
수사|365||||
배1|868|명|신체의 일부|A|1-1.csv
짧다|478|형||A|1-1.csv
기사2|367|명|技士|B|2-1.csv
아파트|534|명|apartment|A|
형제1|1443|명|兄弟|B|1-1.csv
정보6|369|명|情報|B|3-1.csv
가끔|25172|부||A|1-1.csv
와2|10623|감||B|1-1.csv
묻다1|370|동|옷에 흙이 ~|B|1-1.csv
술6||의|밥 한 ~|A|
농구장|24478||||1-1.csv
알아보다|371|동||C|2-1.csv
그곳|842|대||A|
이메일|5096||||1-1.csv
대박|372||||
보다2||부|한층 더|A|
시디1|24901|명|콤팩트디스크|C|1-1.csv
듯1|374|의||C|
바쁘다|544|형||A|1-1.csv
육2|8226|수|六|A|1-1.csv
뽑다|376|동||B|
내려오다|10682|동||A|
세수하다|15382||||1-1.csv
카메라|377|명|camera|A|
손님|468|명||A|
