Index|Korean|English
2급 문법 7과 9항 2단어|마음에 들다|to like
2급 문법 7과 9항 3단어|모양|appearance or shape
2급 문법 7과 9항 4단어|단순하다|to be simple or plain
2급 문법 7과 9항 5단어|맞다|to be right or correct
2급 문법 7과 9항 6단어|밝다|to be bright
2급 문법 7과 9항 7단어|비슷하다|to be similar
2급 문법 7과 9항 8단어|어둡다|to be dark
2급 문법 7과 9항 9단어|화려하다|to be ornate or gorgeous
2급 문법 8과 2항 1단어|모임|meeting or gathering
2급 문법 8과 2항 2단어|초대하다|to invite
2급 문법 8과 2항 3단어|기대|anticipation or expectation
2급 문법 8과 2항 4단어|시작하다|to start
2급 문법 8과 2항 5단어|필요하다|to need
2급 문법 8과 3항 10단어|환영회|welcoming reception
2급 문법 8과 3항 11단어|회비|(membership) fee
2급 문법 8과 3항 12단어|들다|to join
2급 문법 8과 3항 13단어|모으다|to gather
2급 문법 8과 3항 14단어|모이다|to get together
2급 문법 8과 3항 1단어|강아지|puppy
2급 문법 8과 3항 2단어|동창|schoolmate
2급 문법 8과 3항 3단어|도움|help
2급 문법 8과 3항 4단어|동아리|school club
2급 문법 8과 3항 5단어|동창회|alumni association
2급 문법 8과 3항 6단어|동호회|workplace club
2급 문법 8과 3항 7단어|뒤풀이|afterparty
2급 문법 8과 3항 8단어|송별회|farewell party
2급 문법 8과 3항 9단어|초대장|invitation card
2급 문법 8과 8항 1단어|선배|senior
2급 문법 8과 8항 2단어|집들이|housewarming party
2급 문법 8과 8항 3단어|쓰다|to use
2급 문법 8과 8항 4단어|부인|wife
2급 문법 8과 8항 5단어|주방용품|kitchen products
2급 문법 8과 8항 6단어|찻잔|tea set or teacup
2급 문법 8과 8항 7단어|어울리다|to match
2급 문법 8과 8항 8단어|분위기|atmosphere
2급 문법 8과 9항 10단어|향초|scented candle
2급 문법 8과 9항 11단어|휴지|toilet paper or tissue
2급 문법 8과 9항 12단어|화분|flowerpot
2급 문법 8과 9항 13단어|졸다|to doze
2급 문법 8과 9항 14단어|씹다|to chew
2급 문법 8과 9항 15단어|박수를 치다|to applaud
2급 문법 8과 9항 16단어|발로 차다|to kick
2급 문법 8과 9항 1단어|꽃바구니|flower basket
2급 문법 8과 9항 2단어|떡|rice cake
2급 문법 8과 9항 3단어|샤부샤부|shabu shabu
2급 문법 8과 9항 4단어|샐러드|salad
2급 문법 8과 9항 5단어|세제|detergent
2급 문법 8과 9항 6단어|부케|bouquet
2급 문법 8과 9항 7단어|벽시계|wall clock
2급 문법 8과 9항 8단어|앨범|album
2급 문법 8과 9항 9단어|잡채|japchae(clear noodles stir-fried with beef and vegetables)
2급 문법 9과 2항 1단어|드디어|finally
2급 문법 9과 2항 2단어|벌써|already
2급 문법 9과 2항 3단어|무척|very or extremely
2급 문법 9과 2항 4단어|지나다|to pass
2급 문법 9과 2항 5단어|그래|yes
2급 문법 9과 2항 6단어|바로|right
2급 문법 9과 3항 1단어|너희|you
2급 문법 9과 3항 2단어|성함|name
2급 문법 9과 3항 3단어|말|word
2급 문법 9과 3항 4단어|세상|world
2급 문법 9과 3항 5단어|여러분|all of you; ladies and gentlemen
2급 문법 9과 3항 6단어|연세|age in honorific form
2급 문법 9과 3항 7단어|저희|we
2급 문법 9과 3항 8단어|진지|meal or food in honorific form
2급 문법 9과 8항 1단어|이틀|two days
2급 문법 9과 8항 2단어|급하다|to be urgent
2급 문법 9과 8항 3단어|후|after
2급 문법 9과 8항 4단어|생기다|to come into being
2급 문법 9과 8항 5단어|갑자기|suddenly or unexpectedly
2급 문법 9과 8항 6단어|뵙다|to meet (honorific form)
2급 문법 9과 8항 7단어|섭섭하다|to be sad or disappointed
2급 문법 9과 9항 10단어|열흘|ten days
2급 문법 9과 9항 11단어|이틀|two days
2급 문법 9과 9항 12단어|예순|sixty
2급 문법 9과 9항 13단어|일흔|seventy
2급 문법 9과 9항 14단어|하루|one day
2급 문법 9과 9항 15단어|세다|to count
2급 문법 9과 9항 1단어|나흘|four days
2급 문법 9과 9항 2단어|마흔|forty
2급 문법 9과 9항 3단어|서른|thirty
2급 문법 9과 9항 4단어|쉰|fifty
2급 문법 9과 9항 5단어|여든|eighty
2급 문법 9과 9항 6단어|닷새|five days
2급 문법 9과 9항 7단어|사흘|three days
2급 문법 9과 9항 8단어|_세|age or years
2급 문법 9과 9항 9단어|아흔|ninety
2급 문법 10과 2항 1단어|부탁|request or favor
2급 문법 10과 2항 2단어|들어주다|to do (a favor)
2급 문법 10과 2항 3단어|설명하다|to explain
2급 문법 10과 2항 4단어|결석하다|to be absent
2급 문법 10과 2항 5단어|빌려주다|to borrow
2급 문법 10과 3항 1단어|놓다|to place or put
2급 문법 10과 3항 2단어|당기다|to pull
2급 문법 10과 3항 3단어|벗다|to take off
2급 문법 10과 3항 4단어|늘다|to increase or improve
2급 문법 10과 3항 5단어|밀다|to push
2급 문법 10과 3항 6단어|잡다|to grasp or catch
2급 문법 10과 3항 7단어|접다|to fold
2급 문법 10과 3항 8단어|줄다|to decrease or be reduced
2급 문법 10과 3항 9단어|펴다|to unfold or spread
2급 문법 10과 8항 1단어|저|excuse me
2급 문법 10과 8항 2단어|이미|already
2급 문법 10과 8항 3단어|퇴근하다|to leave one's office or get off from work
2급 문법 10과 8항 4단어|서류|document
2급 문법 10과 8항 5단어|전하다|to deliver or hand over
2급 문법 10과 9항 1단어|부장|head of a department or director
2급 문법 10과 9항 2단어|아|ah
2급 문법 10과 9항 3단어|어|uh
2급 문법 10과 9항 4단어|음|um
2급 문법 10과 9항 5단어|저기|excuse me
2급 문법 10과 9항 6단어|자|okay
